SPS: 102
Market Return : 59.13%   |   Portfolio Return : -30.34%   |   position : 1   |   portfolio_valuation : 696.6142744115105   |
Market Return : 59.13%   |   Portfolio Return : 26.42%   |   position : 0   |   portfolio_valuation : 1264.1922455613012   |
Market Return : 59.13%   |   Portfolio Return : -29.51%   |   position : 0   |   portfolio_valuation : 704.9241931344967   |
Market Return : 59.13%   |   Portfolio Return : -36.38%   |   position : -1   |   portfolio_valuation : 636.2335563470521   |
Market Return : 59.13%   |   Portfolio Return : -9.74%   |   position : -1   |   portfolio_valuation : 902.604227360794   |
Market Return : 59.13%   |   Portfolio Return : -22.36%   |   position : 0   |   portfolio_valuation : 776.3969224660112   |
Market Return : 59.13%   |   Portfolio Return : -30.04%   |   position : -1   |   portfolio_valuation : 699.6495984224179   |
Market Return : 59.13%   |   Portfolio Return : -34.15%   |   position : -1   |   portfolio_valuation : 658.4667834916296   |
Market Return : 59.13%   |   Portfolio Return : -21.51%   |   position : 0   |   portfolio_valuation : 784.8664920330862   |
Market Return : 59.13%   |   Portfolio Return : -28.52%   |   position : -1   |   portfolio_valuation : 714.796271053324   |
Market Return : 59.13%   |   Portfolio Return : -8.73%   |   position : 1   |   portfolio_valuation : 912.6795729695422   |
Market Return : 59.13%   |   Portfolio Return :  2.07%   |   position : 1   |   portfolio_valuation : 1020.7376769174306   |
Market Return : 59.13%   |   Portfolio Return : 12.40%   |   position : 0   |   portfolio_valuation : 1123.9622467770391   |
Market Return : 59.13%   |   Portfolio Return :  5.09%   |   position : 1   |   portfolio_valuation : 1050.9172747289538   |
Market Return : 59.13%   |   Portfolio Return : -39.34%   |   position : -1   |   portfolio_valuation : 606.6093470549549   |
Market Return : 59.13%   |   Portfolio Return : -10.30%   |   position : -1   |   portfolio_valuation : 897.0050420070147   |
Market Return : 59.13%   |   Portfolio Return : -5.61%   |   position : 1   |   portfolio_valuation : 943.92569629311   |
Market Return : 59.13%   |   Portfolio Return : 17.48%   |   position : -1   |   portfolio_valuation : 1174.8257379947995   |
Market Return : 59.13%   |   Portfolio Return : -46.02%   |   position : -1   |   portfolio_valuation : 539.7813428227829   |
Market Return : 59.13%   |   Portfolio Return : -12.51%   |   position : 0   |   portfolio_valuation : 874.8991348508442   |
Market Return : 59.13%   |   Portfolio Return : -21.79%   |   position : 0   |   portfolio_valuation : 782.1152092027967   |
Market Return : 59.13%   |   Portfolio Return : -27.65%   |   position : 0   |   portfolio_valuation : 723.4711071660511   |
Market Return : 59.13%   |   Portfolio Return : -25.60%   |   position : 1   |   portfolio_valuation : 743.9606287416171   |
Market Return : 59.13%   |   Portfolio Return : -11.17%   |   position : -1   |   portfolio_valuation : 888.2631043691973   |
Market Return : 59.13%   |   Portfolio Return : -18.73%   |   position : -1   |   portfolio_valuation : 812.7499508863018   |
Market Return : 59.13%   |   Portfolio Return : -31.39%   |   position : 0   |   portfolio_valuation : 686.138383706628   |
Market Return : 59.13%   |   Portfolio Return : -14.31%   |   position : -1   |   portfolio_valuation : 856.8526915059907   |
Market Return : 59.13%   |   Portfolio Return : -43.06%   |   position : 1   |   portfolio_valuation : 569.3939326503399   |
Market Return : 59.13%   |   Portfolio Return : -26.80%   |   position : 1   |   portfolio_valuation : 732.0392711014714   |
Market Return : 59.13%   |   Portfolio Return : -4.75%   |   position : -1   |   portfolio_valuation : 952.4751379884283   |
Market Return : 59.13%   |   Portfolio Return : -30.35%   |   position : -1   |   portfolio_valuation : 696.4755302931336   |
Market Return : 59.13%   |   Portfolio Return : 10.96%   |   position : 1   |   portfolio_valuation : 1109.5751845491368   |
Market Return : 59.13%   |   Portfolio Return : -55.03%   |   position : 1   |   portfolio_valuation : 449.7266116402676   |
Market Return : 59.13%   |   Portfolio Return : -45.65%   |   position : -1   |   portfolio_valuation : 543.5187243283837   |
