Date,Close,High,Low,Open,Volume
2021-03-18,365.4373779296875,370.32878550577965,364.75592985260306,368.23780733354624,115349100
2021-03-19,364.76116943359375,366.7185215102519,362.57902982560887,365.13577721148323,113624500
2021-03-22,367.6737976074219,369.0598779072766,365.22008364773114,365.276273388736,73778600
2021-03-23,364.77984619140625,368.4885113362142,363.9931613777038,367.0368956527284,90686600
2021-03-24,362.925537109375,367.82361875706545,362.8787218556425,366.1846847460537,97588600
2021-03-25,364.9671936035156,365.76322438235565,359.53528100576926,361.48328710314735,116128600
2021-03-26,370.8486328125,371.2513354528067,365.51975365812234,366.1191203770628,114409100
2021-03-29,370.6612854003906,371.5697241805581,367.87977932756746,369.36886439554,108107600
2021-03-30,369.6778869628906,370.3521922411114,368.07639406415694,369.3875638578948,76262200
2021-03-31,371.1763916015625,372.74041546812293,370.2211375092786,370.2492323772652,112734200
2021-04-01,375.1847839355469,375.2410022566375,372.9090137092309,373.1150522840873,99682900
2021-04-05,380.56982421875,381.11302977511093,377.7789720579834,377.85388217916733,91684800
2021-04-06,380.3450012207031,381.39391422507504,379.6706959206447,380.0078628610418,62021000
2021-04-07,380.78521728515625,381.13173016634283,379.71758377503375,380.17647612247123,55836300
2021-04-08,382.59271240234375,382.6489021342962,381.1036273441264,382.04016098431885,57863100
2021-04-09,385.374267578125,385.54286537621095,382.3492818264006,382.471035788063,61104600
2021-04-12,385.5148010253906,385.7863752590293,384.1661900183948,384.77493129415467,56704900
2021-04-13,386.6573181152344,387.2848083159337,385.02775850316095,385.4117407781049,56551000
2021-04-14,385.33673095703125,387.6874106739289,384.79352550638436,386.62912321593916,61659900
2021-04-15,389.47625732421875,389.7478600943017,387.4346207591229,387.4814360108745,60229800
2021-04-16,390.778076171875,391.3868173846605,389.3451806977681,390.7687016886695,82037300
2021-04-19,388.85809326171875,390.2909884719837,387.5282316055179,389.84147065275465,78498500
2021-04-20,386.0111083984375,388.74577080213885,384.53136914456286,387.64066789352995,81851800
2021-04-21,389.6635437011719,389.8695822374006,385.252449845648,385.3929527509193,66793000
2021-04-22,386.1047668457031,390.3285432917998,385.03713321050617,389.4950430989676,97582800
2021-04-23,390.29107666015625,391.70525180773853,386.5917853934421,386.6666955199945,73209200
2021-04-26,391.1058349609375,391.67713539485504,390.35661941365066,390.94664023299106,52182400
2021-04-27,391.0216064453125,391.60228144560665,389.87903399432275,391.405588757118,51303100
2021-04-28,390.9091491699219,392.4169832445719,390.44088233369035,391.2931314053205,51238900
2021-04-29,393.40032958984375,394.0184452393067,390.01008229066707,393.6438374889247,78544300
2021-04-30,390.8154602050781,391.9767813050414,389.9163959508624,391.1245322985736,85527000
2021-05-03,391.6583557128906,393.1942559265177,391.16199405729486,392.81027372792676,68128300
2021-05-04,389.2420959472656,390.1599091777435,385.5428053216485,389.6635475057194,101591200
2021-05-05,389.36395263671875,391.1246408679832,388.80202660407656,390.89050740277776,60162200
2021-05-06,392.4732360839844,392.6043359572241,387.42530505900004,389.4388470624038,74321400
2021-05-07,395.32958984375,395.98517484775925,392.5574581716832,393.24113804267915,67733800
2021-05-10,391.41485595703125,395.9102058149185,391.2931020158375,395.68544689624537,81852400
2021-05-11,387.9215393066406,388.9142625462382,384.03493093492546,386.8820008235796,116888000
2021-05-12,379.6801452636719,386.40445062739644,378.3596292664934,385.13077846545326,134811000
2021-05-13,384.2409973144531,386.1796286907633,381.18788868784316,381.2347325154382,106394000
2021-05-14,390.1412048339844,390.99345394959835,386.9569958994236,386.9850907678179,82201600
2021-05-17,389.1484375,389.9632457530462,387.12552146147345,389.0267121378434,65129200
2021-05-18,385.7956237792969,389.65413734142436,385.6364005040264,389.410629478329,59810200
2021-05-19,384.7841796875,384.96212335727006,379.60515004278085,381.09426361206437,106467100
2021-05-20,388.9237365722656,390.18806285746604,385.54286343600126,385.6645888163089,78022200
2021-05-21,388.6052551269531,391.65836381551816,388.1463628077777,390.41275811955995,76578700
2021-05-24,392.5668029785156,393.64381090590996,390.6094225970298,390.8529304796665,51376700
2021-05-25,391.6958923339844,394.0091319925526,391.1152459435391,393.65324457112,57451400
2021-05-26,392.4732360839844,392.9789437702944,391.24637906225144,392.2859178870772,43088600
2021-05-27,392.67919921875,394.0184354690083,392.3982219773763,393.5033533975978,56707700
2021-05-28,393.38165283203125,394.51485069134986,393.14751938948444,394.25262237892713,58520200
2021-06-01,393.0351257324219,395.89154219615915,392.5949537330821,395.75106785184676,54216600
